Latitude,Longitude,Methane (CH4) emissions metric tons carbon equivalent,Industry Type (sectors),Facility Name,Address,City,State,Zip Code,County
39.92,-80.46,2268589,Other,Bailey Mine-Crabapple Portal,192 Crabapple Rd.,Wind Ridge,PA,15380,GREENE COUNTY
39.82,-80.60,2101900.75,Other,Marshall County Mine,57 Goshorn Woods Road,Cameron,WV,26033,MARSHALL COUNTY
40.08,-80.36,2080109.75,Other,Enlow Fork Mine,2041 Pleasant Grove Rd.,Claysville,PA,15323,WASHINGTON COUNTY
33.26,-87.31,1780104,Other,"Warrior Met Coal, LLC",16243 Hwy 216,Brookwood,AL,35444,TUSCALOOSA COUNTY
39.80,-80.16,1652962.75,Other,"Iron Cumberland, LLC",855 Kirby Road,Waynesburg,PA,15370,GREENE COUNTY
39.58,-80.36,1621172.5,Other,Marion County Mine,151 Jonny Cake Branch Rd,Metz,WV,26585,MARION COUNTY
37.21,-81.92,1335979.25,Other,Buchanan Mine #1,1636 Honaker Branch Road,Raven,VA,24639,BUCHANAN COUNTY
39.97,-80.41,1311203,Other,Harvey Mine,,Richhill,PA,15380,GREENE COUNTY
36.97,-82.60,1056296.5,Other,Deep Mine 41,5703 Crutchfield Drive,Norton,VA,24273,WISE COUNTY
39.71,-80.29,1021519.75,Other,Monongalia County Mine,,Monongalia County,WV,25760,MONONGALIA COUNTY
33.45,-87.04,895161.25,Other,OAK GROVE MINE,8800 OAK GROVE MINE ROAD,ADGER,AL,35006,JEFFERSON COUNTY
34.96,-78.45,824567.75,Waste,"SAMPSON COUNTY DISPOSAL, LLC",7434 ROSEBORO HIGHWAY,ROSEBORO,NC,28382,SAMPSON COUNTY
37.78,-81.27,796995.25,Other,"ICG Beckley, LLC",2221 Old Eccles Road,Eccles,WV,25836,RALEIGH COUNTY
34.32,-84.25,772982.5,Waste,"EAGLE POINT LANDFILL, LLC",8880 OLD FEDERAL RD,BALL GROUND,GA,30107,FORSYTH COUNTY
38.86,-87.42,736777.5,Other,Oaktown Fuels Mine No.1,12661 North Agricare Road,Oaktown,IN,47561,KNOX COUNTY
36.80,-108.44,724563.75,Other,San Juan Mine,300 CR 6800,Waterflow,NM,87421,SAN JUAN COUNTY
40.15,-80.66,685946,Other,"Tunnel Ridge, LLC",2596 Battle Run Road,Triadelphia,WV,26059,OHIO COUNTY
39.97,-80.55,679714.5,Other,Ohio County Mine,,Dallas,WV,26036,MARSHALL COUNTY
40.51,-81.54,634660,Waste,Kimble Sanitary Landfill,3596 SR 39 NW,Dover,OH,44622,TUSCARAWAS COUNTY
39.18,-80.05,612664,Other,LEER SOUTH MINING COMPLEX,21550 BARBOUR COUNTY HIGHWAY,PHILIPPI,WV,26416,BARBOUR COUNTY
38.86,-87.42,611014.5,Other,Oaktown Fuels Mine No. 2,12661 North Agricare Road,Oaktown,IN,47561,KNOX COUNTY
40.43,-80.91,573366.25,Waste,"APEX ENVIRONMENTAL, LLC - SANITARY LANDFILL (0641000223)",11 COUNTY ROAD 78,AMSTERDAM,OH,43903,JEFFERSON COUNTY
28.40,-80.82,554933,Waste,BREVARD CO BOARD OF COUNTY COMMISSIONERS,2250 ADAMSON ROAD,COCOA,FL,32926,BREVARD COUNTY
38.35,-87.56,536330.5,Other,"Gibson County Coal, LLC",RR #3 Lyles Station Rd.,Princeton,IN,47670,GIBSON COUNTY
26.79,-80.14,533625.75,Waste,Palm Beach Renewable Energy Park (PBREP),7501 N. JOG ROAD,WEST PALM BEACH,FL,33412,PALM BEACH COUNTY
38.17,-88.60,521655.5,Other,White Oak Resources Mine No. 1/Hamilton County Coal,,Dahlgren,IL,62828,HAMILTON COUNTY
33.33,-87.33,510766,Other,Warrior Met Coal Mine #4,,Brookwood,AL,35444,TUSCALOOSA COUNTY
43.17,-83.84,505545.5,Waste,BRENT RUN LANDFILL,8335  VIENNA RD.,MONTROSE,MI,48457,GENESEE COUNTY
28.02,-81.84,467045.5,Waste,Polk County - North Central Landfill,10 Environmental Loop south,Winter Haven,FL,33880,POLK COUNTY
